id;home;latitude;longitude;info
1;Secured Program;the program Ghana;magnetic;Soft Colombia
2;installation International generating;Chief;connecting;Gold harness
3;neural;e-commerce Reverse-engineered Directives;Bedfordshire;Outdoors
4;pink;SCSI;Diverse;Fuerte Sports
5;17(E.U.A.-17) Frozen Venezuela;analyzer;JSON open-source e-services;Monaco Business-focused RAM
6;Designer Austria;Generic;Soft impactful Pataca;deposit alarm
7;fuchsia Leu;Account Movies Stream;Licensed Forward;connect Toys Assurance
8;teal;blockchains;Refined Nicaragua synthesize;digital withdrawal
9;Maine IB;Parks;utilisation Gardens;Division viral Investment
10;Zambia viral approach;harness;Configuration;Tasty Pike
